GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
football,com.game,Jugador,0,30,0,0,0,10,0,6,0,6
football,com.game,Equipo,0,153,1,11,0,32,1,15,0,10
football,com.game,Estadio,0,37,0,0,0,10,0,6,0,6
football,com.game,ArbitroBase,0,3,0,0,0,1,0,1,0,1
football,com.game,Partido,0,90,0,0,0,30,0,11,0,11
football,com.game,AVAR,0,4,0,0,0,2,0,1,0,1
football,com.game,Tarjeta,0,39,0,0,0,11,0,6,0,6
football,com.game,Arbitro,0,3,0,0,0,1,0,1,0,1
football,com.game,PantallaLed,0,6,0,0,0,2,0,2,0,2
football,com.game,Var,0,102,0,0,0,22,0,10,0,10
football,com.game,IntegranteDelVar,0,6,0,0,0,3,0,1,0,1
football,com.game,TarjetaAmarilla,0,5,0,0,0,2,0,1,0,1
football,com.game,Torneo,0,43,0,0,0,14,0,6,0,6
football,com.game,TarjetaRoja,0,5,0,0,0,2,0,1,0,1
football,com.game,AsistenteDeVideo,0,4,0,0,0,2,0,1,0,1
